iter	Passed	Remaining
356	106953	132718
357	107147	132288
358	107409	131942
359	107713	131650
360	108031	131373
361	108353	131102
362	108756	130927
363	109143	130731
364	109596	130614
365	109940	130366
366	110207	130026
367	110519	129739
368	110841	129465
369	111133	129155
370	111455	128880
371	111751	128574
372	112054	128276
373	112328	127946
374	112588	127600
375	112876	127286
376	113177	126987
377	113472	126680
378	113760	126367
379	114038	126043
380	114259	125655
381	114507	125299
382	114804	124995
383	115089	124680
384	115345	124333
385	115688	124080
386	116001	123794
387	116316	123510
388	116594	123188
389	116838	122830
390	117146	122539
391	117441	122234
392	117730	121924
393	117993	121587
394	118305	121300
395	118610	121006
396	118885	120682
397	119165	120363
398	119409	120007
399	119688	119688
400	119992	119393
401	120241	119045
402	120501	118707
403	120753	118362
404	121029	118041
405	121281	117696
406	121744	117556
407	122093	117305
408	122485	117095
409	122749	116761
410	123064	116477
411	123347	116162
412	123635	115851
413	123916	115535
414	124117	115144
415	124375	114807
416	124696	114529
417	124857	114104
418	125187	113833
419	125513	113560
420	125810	113259
421	126083	112937
422	126303	112568
423	126625	112290
424	126759	111846
425	127092	111578
426	127467	111347
427	127761	111045
428	127946	110648
429	128186	110300
430	128521	110033
431	128840	109753
432	129148	109463
433	129446	109164
434	129695	108825
435	129961	108500
436	130230	108177
437	130459	107822
438	130720	107494
439	131002	107184
440	131343	106921
441	131717	106685
442	132054	106418
443	132333	106105
444	132629	105805
445	133065	105617
446	133465	105399
447	133711	105058
448	133940	104705
449	134239	104408
450	134478	104064
451	134756	103750
452	135086	103477
453	135819	103509
454	136158	103241
455	136421	102914
456	136645	102559
457	136923	102244
458	137201	101929
459	137477	101613
460	137725	101277
461	137985	100950
462	138237	100617
463	138502	100295
464	138740	99953
465	138961	99599
466	139199	99258
467	139415	98901
468	139662	98567
469	139888	98219
470	140136	97887
471	140385	97555
472	140625	97219
473	140894	96901
474	141167	96588
475	141387	96238
476	141655	95921
477	141897	95588
478	142151	95262
479	142406	94937
480	142663	94614
481	142941	94306
482	143167	93962
483	143442	93652
484	143808	93401
485	144267	93210
486	144535	92894
487	144830	92596
488	145161	92321
489	145408	91992
490	145651	91662
491	145918	91347
492	146177	91027
493	146461	90723
494	146734	90412
495	146997	90095
496	147317	89813
497	147579	89496
498	147834	89174
499	148046	88827
500	148307	88510
501	148560	88189
502	148801	87861
503	149035	87528
504	149279	87202
505	149557	86897
506	149829	86588
507	150053	86251
508	150327	85943
509	150581	85624
510	150862	85321
511	151131	85011
512	151418	84711
513	151667	84391
514	151979	84105
515	152186	83761
516	152475	83463
517	152819	83194
518	153198	82945
519	153609	82712
520	153831	82377
521	154089	82062
522	154375	81762
523	154664	81464
524	154918	81147
525	155144	80816
526	155410	80506
527	155636	80176
528	155892	79861
529	156224	79585
530	156648	79356
531	157130	79156
532	157351	78823
533	157702	78555
534	157973	78248
535	158204	77921
536	158476	77615
537	158714	77291
538	158953	76970
539	159199	76651
540	159439	76330
541	159682	76011
542	159914	75686
543	160160	75369
544	160466	75080
545	160727	74770
546	161014	74472
547	161224	74139
548	161520	73846
549	161771	73532
550	162010	73213
551	162234	72887
552	162488	72576
553	162745	72266
554	162990	71950
555	163236	71636
556	163494	71326
557	163743	71014
558	164013	70710
559	164190	70367
560	164433	70052
561	164672	69736
562	164926	69427
563	165156	69108
564	165376	68784
565	165579	68454
566	165811	68137
567	166001	67803
568	166238	67488
569	166493	67181
570	166788	66890
571	167039	66582
572	167276	66268
573	167517	65956
574	167757	65644
575	168018	65340
576	168279	65036
577	168535	64731
578	168765	64416
579	169009	64106
580	169228	63788
581	169470	63478
582	169767	63189
583	170033	62889
584	170286	62583
585	170569	62289
586	170836	61990
587	171013	61657
588	171259	61351
589	171500	61042
590	171728	60729
591	171954	60416
592	172235	60122
593	172503	59824
594	172781	59529
595	173031	59225
596	173294	58925
597	173534	58618
598	173791	58317
599	174061	58020
600	174312	57717
601	174637	57438
602	174881	57133
603	175226	56861
604	175478	56559
605	175731	56257
606	175954	55946
607	176225	55650
608	176401	55324
609	176678	55030
610	176994	54749
611	177273	54456
612	177550	54163
613	177793	53859
614	178027	53552
615	178255	53245
616	178486	52938
617	178722	52633
618	178951	52326
619	179197	52025
620	179432	51720
621	179682	51420
622	179954	51126
623	180187	50822
624	180419	50517
625	180963	50299
626	181285	50019
627	181552	49724
628	181838	49434
629	182094	49136
630	182352	48839
631	182554	48527
632	182851	48240
633	183108	47943
634	183364	47645
635	183595	47342
636	183809	47034
637	184105	46747
638	184352	46448
639	184609	46152
640	184879	45859
641	185130	45561
642	185379	45263
643	185646	44970
644	185922	44679
645	186169	44381
646	186417	44083
647	186676	43788
648	186921	43490
649	187174	43194
650	187425	42897
651	187657	42597
652	187928	42305
653	188188	42011
654	188430	41713
655	188704	41422
656	188968	41130
657	189213	40833
658	189526	40551
659	189963	40295
660	190223	40001
661	190475	39706
662	190688	39403
663	190930	39106
664	191128	38800
665	191375	38505
666	191636	38212
667	191898	37920
668	192336	37662
669	192654	37380
670	193007	37105
671	193261	36811
672	193490	36513
673	193877	36244
674	194139	35951
675	194350	35650
676	194641	35363
677	194897	35069
678	195177	34781
679	195436	34488
680	195620	34183
681	195863	33888
682	196176	33605
683	196416	33310
684	196614	33008
685	196858	32714
686	197078	32416
687	197237	32108
688	197496	31817
689	197772	31529
690	198106	31249
691	198351	30956
692	198581	30661
693	198925	30383
694	199126	30083
695	199386	29793
696	199641	29502
697	199880	29208
698	200123	28916
699	200399	28628
700	200657	28338
701	201106	28074
702	201384	27787
703	201634	27495
704	201908	27207
705	202182	26919
706	202466	26632
707	202739	26344
708	202947	26048
709	203217	25759
710	203465	25468
711	203842	25194
712	204066	24900
713	204346	24613
714	204584	24321
715	204843	24031
716	205107	23743
717	205346	23451
718	205582	23160
719	205790	22865
720	206070	22579
721	206324	22289
722	206548	21997
723	206700	21697
724	207097	21423
725	207635	21163
726	207877	20873
727	208151	20586
728	208472	20303
729	208751	20017
730	209097	19736
731	209377	19450
732	209793	19176
733	210046	18886
734	210263	18594
735	210542	18308
736	210802	18019
737	211054	17730
738	211254	17437
739	211504	17148
740	211775	16862
741	212018	16572
742	212307	16287
743	212580	16000
744	212877	15715
745	213154	15429
746	213423	15142
747	213673	14854
748	213972	14569
749	214285	14285
750	214593	14001
751	214908	13717
752	215194	13431
753	215476	13145
754	215751	12859
755	216007	12571
756	216288	12285
757	216545	11998
758	216742	11708
759	216981	11420
760	217276	11135
761	217544	10848
762	217788	10561
763	218025	10273
764	218315	9988
765	218650	9705
766	218923	9419
767	219156	9131
768	219406	8844
769	219667	8558
770	219902	8271
771	220238	7987
772	220718	7709
773	220978	7423
774	221259	7137
775	221543	6851
776	221802	6565
777	222061	6279
778	222330	5993
779	222579	5707
780	222858	5421
781	223160	5136
782	223432	4851
783	223702	4565
784	223962	4279
785	224155	3992
786	224470	3707
787	224731	3422
788	224974	3136
789	225181	2850
790	225514	2565
791	226014	2282
792	226170	1996
793	226462	1711
794	226710	1425
795	226993	1140
796	227260	855
797	227506	570
798	227772	285
799	228048	0
