iter	Logloss
164	0.1916372952
165	0.1915719728
166	0.1915035567
167	0.1914233229
168	0.1913901296
169	0.1913522364
170	0.1913167011
171	0.1912758047
172	0.1912311601
173	0.1911205044
174	0.1910961947
175	0.191043204
176	0.1909945937
177	0.1909370462
178	0.1908752581
179	0.1908118649
180	0.1907630795
181	0.1907194683
182	0.1906869238
183	0.190625383
184	0.1905665226
185	0.1904911755
186	0.1904258953
187	0.1903837137
188	0.1903350577
189	0.1902949797
190	0.1902558504
191	0.190199311
192	0.1901313169
193	0.1900811111
194	0.1900620164
195	0.1900157123
196	0.1899628695
197	0.1899435164
198	0.189900432
199	0.1898484457
200	0.1898086187
201	0.1898085802
202	0.1897559918
203	0.1897164396
204	0.1896940606
205	0.1896568892
206	0.1896083447
207	0.1895669711
208	0.1894913921
209	0.1894548689
210	0.1894445977
211	0.1893800948
212	0.1893191127
213	0.1892186927
214	0.1891839714
215	0.1891443732
216	0.1890631533
217	0.1890377901
218	0.1889730523
219	0.1889088145
220	0.1888119014
221	0.1887381001
222	0.1886934541
223	0.1886125733
224	0.188548912
225	0.1884630893
226	0.1884237411
227	0.1883964975
228	0.1883327167
229	0.1882896593
230	0.1882227816
231	0.188175709
232	0.1880910645
233	0.1880377857
234	0.1879361095
235	0.1879213267
236	0.1878695033
237	0.1878088901
238	0.1877290158
239	0.1876890452
240	0.1876360932
241	0.1875523531
242	0.1875302647
243	0.1874804609
244	0.1874400783
245	0.1874044261
246	0.1873319259
247	0.1872870653
248	0.1872339301
249	0.1871774448
250	0.1871376984
251	0.1870968605
252	0.1870372011
253	0.1869898448
254	0.1869169602
255	0.1868646878
256	0.1868179092
257	0.1867791522
258	0.1867405541
259	0.1866769293
260	0.1866241688
261	0.1865779989
262	0.1865150775
263	0.1864655134
264	0.1864379418
265	0.1863677567
266	0.1863171649
267	0.186281731
268	0.186245863
269	0.186195517
270	0.1861668259
271	0.1861124387
272	0.1860689629
273	0.1860280473
274	0.1859948249
275	0.1859708802
276	0.1859411126
277	0.1859098994
278	0.1858715285
279	0.1857887111
280	0.1857377888
281	0.1856978504
282	0.1856497482
283	0.1856049295
284	0.1855573668
285	0.1855171748
286	0.1854504326
287	0.1854105958
288	0.1853514045
289	0.1853070148
290	0.1852677898
291	0.1852392742
292	0.1851838715
293	0.1851536401
294	0.185106925
295	0.1850734019
296	0.1850119854
297	0.1849722597
298	0.1849090477
299	0.184860391
300	0.1848325044
301	0.1847967801
302	0.1847629107
303	0.1847073856
304	0.1846826613
305	0.1846720834
306	0.1846408941
307	0.1845691201
308	0.1845325507
309	0.1844830676
310	0.1844792876
311	0.184420306
312	0.1843793503
313	0.1843433145
314	0.1842859235
315	0.1842680493
316	0.1842215761
317	0.1841505133
318	0.1841077805
319	0.1840776879
320	0.184038467
321	0.1840120022
322	0.1839806147
323	0.1839571325
324	0.183909024
325	0.1839014666
326	0.1838661495
327	0.1838303411
328	0.1837820593
329	0.1837654665
330	0.1837247196
331	0.1836878139
332	0.1836547955
333	0.1836223259
334	0.1835923543
335	0.183564609
336	0.1835343946
337	0.1834989696
338	0.1834409135
339	0.1833962312
340	0.18337715
341	0.1833345441
342	0.1833112069
343	0.1832713697
344	0.1832086878
345	0.1831718641
346	0.1831508903
347	0.1831273414
348	0.1831083788
349	0.1830682533
350	0.1830388799
351	0.1829910381
352	0.1829698424
353	0.1829289479
354	0.1829041109
355	0.1828793213
356	0.1828521254
357	0.1828460132
358	0.182806196
359	0.1827897503
360	0.1827464829
361	0.1827171277
362	0.1826785117
363	0.1826455292
364	0.1826189333
365	0.1825947037
366	0.1825609671
367	0.1825490611
368	0.1825235091
369	0.1825039817
370	0.1824786439
371	0.1824239189
372	0.1824057401
373	0.1823827978
374	0.1823689147
375	0.1823305953
376	0.1823011295
377	0.1822723075
378	0.1822112768
379	0.1821843508
380	0.1821782767
381	0.1821575133
382	0.1821232607
383	0.1820852057
384	0.1820715472
385	0.1820476062
386	0.1820323848
387	0.1819839342
388	0.1819649364
389	0.18194177
390	0.1819188542
391	0.1818786072
392	0.1818581432
393	0.1818129269
394	0.1818010052
395	0.1817576238
396	0.18169581
397	0.1816731591
398	0.1816289068
399	0.1816032452
400	0.1815692496
401	0.1815452689
402	0.1814808494
403	0.181442242
404	0.1814136229
405	0.1813966999
406	0.1813839994
407	0.1813423653
408	0.1813043012
409	0.1812703207
410	0.1812557207
411	0.1812474433
412	0.181231315
413	0.1812115169
414	0.1812111798
415	0.1811835611
416	0.1811508654
417	0.1811504814
418	0.1811246493
419	0.1810971779
420	0.1810715138
421	0.1810531029
422	0.1810374109
423	0.1810066239
424	0.1810062587
425	0.1809860682
426	0.1809733136
427	0.1809566183
428	0.18095611
429	0.1809320301
430	0.1809217181
431	0.180898271
432	0.18087427
433	0.1808466644
434	0.1808071553
435	0.1807829198
436	0.1807695097
437	0.1807558599
438	0.1807363873
439	0.1806751613
440	0.180638406
441	0.1806179709
442	0.1805628114
443	0.1805355585
444	0.1805069576
445	0.1805058127
446	0.1804871866
447	0.1804693856
448	0.1804671304
449	0.1804325879
450	0.1804083616
451	0.1803794751
452	0.1803648865
453	0.1803302768
454	0.1803086561
455	0.1802728147
456	0.1802724341
457	0.1802334103
458	0.1802112404
459	0.1801829782
460	0.180167553
461	0.1801553579
462	0.1800810654
463	0.1800635379
464	0.1800335229
465	0.1800167396
466	0.1799895333
467	0.1799632643
468	0.1799153987
469	0.1798957907
470	0.1798690692
471	0.179835594
472	0.1798045434
473	0.1797786359
474	0.1797670246
475	0.1797391823
476	0.1797065308
477	0.179698072
478	0.1796751424
479	0.1796537136
480	0.1796292595
481	0.179604418
482	0.1796031734
483	0.1795854454
484	0.1795463055
485	0.1795246374
486	0.179512477
487	0.1795024879
488	0.1794721078
489	0.1794577438
490	0.1794439465
491	0.1794110973
492	0.1793920606
493	0.1793722405
494	0.179365519
495	0.1793510288
496	0.1793141171
497	0.1792945653
498	0.1792820668
499	0.1792711893
500	0.1792353063
501	0.1791712486
502	0.179145071
503	0.1791198988
504	0.1791027919
505	0.1790870839
506	0.1790524874
507	0.1790359787
508	0.179020203
509	0.1789884657
510	0.1789704931
511	0.1789562539
512	0.178930081
513	0.1789010764
514	0.1788660721
515	0.1788648802
516	0.1788574658
517	0.1788400224
518	0.1787830555
519	0.1787488763
520	0.1787395961
521	0.1787142264
522	0.1786876232
523	0.1786669636
524	0.1786537498
525	0.1786470198
526	0.1786242644
527	0.1786006394
528	0.1785842905
529	0.1785595335
530	0.1785491904
531	0.1785097803
532	0.1785096299
533	0.178498778
534	0.1784798735
535	0.178464904
536	0.1784336065
537	0.1783944087
538	0.1783769893
539	0.1783493496
540	0.1783342056
541	0.1783213988
542	0.1782971164
543	0.1782768644
544	0.178229344
545	0.1781915158
546	0.178171459
547	0.1781703162
548	0.1781556097
549	0.178132392
550	0.1781181542
551	0.1781055096
552	0.1780876071
553	0.1780707441
554	0.1780468712
555	0.1780331277
556	0.1780329225
557	0.1780155332
558	0.1779903888
559	0.1779882552
560	0.1779774658
561	0.1779635231
562	0.1779321047
563	0.1779178285
564	0.1778666438
565	0.1778663267
566	0.1778388483
567	0.1778386623
568	0.1777957741
569	0.1777702989
570	0.1777530981
571	0.1777455397
572	0.1777264545
573	0.1777008152
574	0.177691431
575	0.1776713022
576	0.1776506252
577	0.1776419501
578	0.1776304669
579	0.1776155193
580	0.1776020466
581	0.177573565
582	0.1775631166
583	0.1775495711
584	0.177517911
585	0.1775093888
586	0.1774996371
587	0.1774994284
588	0.1774749786
589	0.1774395446
590	0.1774208609
591	0.1774137727
592	0.1773861933
593	0.1773660352
594	0.1773541746
595	0.1773198681
596	0.1773019568
597	0.1772862864
598	0.1772606573
599	0.1772466604
600	0.1772333236
601	0.1772085186
602	0.1771822003
603	0.1771610852
604	0.177147865
605	0.1771381558
606	0.1771223847
607	0.1770999666
608	0.1770997941
609	0.1770918599
610	0.1770813325
611	0.1770700009
612	0.1770387676
613	0.1770179981
614	0.1770021078
615	0.176985
616	0.1769564508
617	0.1769304985
618	0.1769106342
619	0.1768904756
620	0.1768721706
621	0.176846269
622	0.176830137
623	0.1768056109
624	0.176796878
625	0.1767866054
626	0.1767746553
627	0.1767543988
628	0.1767529267
629	0.1767251537
630	0.1767076045
631	0.176707427
632	0.1766821341
633	0.1766593611
634	0.1766357417
635	0.1766139304
636	0.1766121683
637	0.1765790262
638	0.1765614087
639	0.1765289528
640	0.1765035028
641	0.1764786857
642	0.1764593824
643	0.1764473771
644	0.1764212182
645	0.1763982681
646	0.176361186
647	0.1763470826
648	0.1763358831
649	0.1763179432
650	0.1763056028
651	0.1762843224
652	0.176261905
653	0.1762525036
654	0.1762340248
655	0.1762337392
656	0.1762196922
657	0.1762055248
658	0.1761739082
659	0.1761542512
660	0.1761360779
661	0.176109504
662	0.1761039738
663	0.176086363
664	0.1760862098
665	0.1760525468
666	0.1760274382
667	0.1760225573
668	0.1760074162
669	0.1759913656
670	0.175984419
671	0.175973271
672	0.1759640775
673	0.1759573262
674	0.1759454457
675	0.1759453139
676	0.1759277735
677	0.1758866935
678	0.1758570241
679	0.1758163284
680	0.1758162322
681	0.1757866499
682	0.1757629095
683	0.1757520759
684	0.1757518556
685	0.1757432167
686	0.1757189044
687	0.1757188143
688	0.1757003104
689	0.1756911144
690	0.1756665888
691	0.1756381659
692	0.1756147344
693	0.1755807413
694	0.1755785489
695	0.175558889
696	0.1755504247
697	0.1755389455
698	0.175517848
699	0.1755076898
700	0.1754724572
701	0.1754604587
702	0.1754498112
703	0.1754365987
704	0.1754281015
705	0.1754162391
706	0.175387274
707	0.1753688294
708	0.1753686039
709	0.1753562629
710	0.1753366686
711	0.1753259545
712	0.1753189865
713	0.1753028726
714	0.1752817171
715	0.1752697432
716	0.1752672202
717	0.1752332707
718	0.1752182539
719	0.1752094525
720	0.175197164
721	0.1751874752
722	0.1751792622
723	0.1751792515
724	0.1751172475
725	0.1750990426
726	0.1750765863
727	0.17503883
728	0.1750241748
729	0.1750153029
730	0.174997309
731	0.1749845756
732	0.1749602537
733	0.1749465361
734	0.1749379666
735	0.1749282323
736	0.1749175421
737	0.1749097027
738	0.174898497
739	0.1748637069
740	0.1748445742
741	0.1748359251
742	0.1748302243
743	0.1748067513
744	0.1747977287
745	0.1747422786
746	0.1747343224
747	0.1747155025
748	0.1747000236
749	0.1746923071
750	0.174666855
751	0.1746619288
752	0.174637107
753	0.1746273467
754	0.1746191346
755	0.17460177
756	0.1745825776
757	0.1745725348
758	0.1745664748
759	0.1745320281
760	0.1745239028
761	0.1745153781
762	0.1745031968
763	0.1744876292
764	0.1744718021
765	0.1744524064
766	0.1744399008
767	0.1744344592
768	0.1744072803
769	0.1744026624
770	0.1743897471
771	0.174368627
772	0.1743637599
773	0.1743507191
774	0.1743390141
775	0.1743325404
776	0.1743231555
777	0.1742953799
778	0.1742719682
779	0.174246173
780	0.174226068
781	0.174214129
782	0.174186618
783	0.1741761628
784	0.1741490735
785	0.1741467765
786	0.1741250413
787	0.1741172956
788	0.1740880188
789	0.1740784219
790	0.1740603726
791	0.1740249839
792	0.1740249815
793	0.1740136645
794	0.1739910438
795	0.1739814896
796	0.1739646598
797	0.1739630801
798	0.1739489726
799	0.1739256894
