iter	Logloss
0	0.629968961
1	0.5674601954
2	0.5204085152
3	0.4797047387
4	0.4418204131
5	0.4146045237
6	0.3891447382
7	0.3671942035
8	0.348858349
9	0.3323243844
10	0.3179797579
11	0.3055951348
12	0.2952901043
13	0.2862800489
14	0.2770757843
15	0.2710120499
16	0.2654400507
17	0.2598918639
18	0.2536613316
19	0.2499874247
20	0.2455272745
21	0.2419092208
22	0.2383776532
23	0.2361385651
24	0.233180084
25	0.2314159423
26	0.2286548374
27	0.226555917
28	0.2245633831
29	0.2232245242
30	0.2221405621
31	0.2206692108
32	0.2195256916
33	0.2184524417
34	0.217561797
35	0.2167451013
36	0.2158833188
37	0.215278364
38	0.2143450842
39	0.2136828602
40	0.2131603506
41	0.2126575915
42	0.212168002
43	0.2116400828
44	0.2112501108
45	0.2107072064
46	0.2103497644
47	0.2099599942
48	0.2096283524
49	0.2090690602
50	0.208738575
51	0.2082663324
52	0.2079364595
53	0.2074639351
54	0.207141918
55	0.2068790545
56	0.2064036192
57	0.2059619308
58	0.2056794199
59	0.2054442978
60	0.2051212597
61	0.2049436984
62	0.2045993194
63	0.2043964164
64	0.2041824149
65	0.2039671286
66	0.2036979603
67	0.2033945552
68	0.2031000598
69	0.20284316
70	0.2025577827
71	0.2023772609
72	0.2022108922
73	0.2020279416
74	0.2018306391
75	0.2016234988
76	0.2013210656
77	0.2011626017
78	0.2010221081
79	0.2008321652
80	0.2006820296
81	0.2005360425
82	0.2003482678
83	0.2002197088
84	0.200059747
85	0.1999313814
86	0.1998182542
87	0.1996961031
88	0.1995084713
89	0.1993398967
90	0.1992268188
91	0.1991300628
92	0.1989676831
93	0.1988451354
94	0.1986253555
95	0.1985425749
96	0.1983774418
97	0.1982047195
98	0.1980686352
99	0.1979725367
100	0.1978508896
101	0.1976896804
102	0.1975817545
103	0.1975296777
104	0.1974273615
105	0.1973245201
106	0.197238749
107	0.1970826305
108	0.1969171373
109	0.1968305954
110	0.1966334881
111	0.196576837
112	0.1964504146
113	0.1963531087
114	0.1962734817
115	0.1961904704
116	0.1960709529
117	0.1959618409
118	0.1958367955
119	0.1956899391
120	0.1955082285
121	0.1953458117
122	0.1951979635
123	0.195128535
124	0.1950497312
125	0.1949524244
126	0.194819735
127	0.1946699152
128	0.1945057314
129	0.1944034981
130	0.1942975381
131	0.1941967042
132	0.1941058667
133	0.1940356493
134	0.1939326396
135	0.1938693888
136	0.1938135859
137	0.193731536
138	0.193635595
139	0.1935569298
140	0.1934620743
141	0.1933796744
142	0.1933258014
143	0.1932553038
144	0.1932002607
145	0.1930863816
146	0.1930417424
147	0.1929064657
148	0.1928142676
149	0.1927121429
150	0.1926679681
151	0.1926168476
152	0.1924756261
153	0.1923911261
154	0.1923275757
155	0.192291294
156	0.192227332
157	0.1921650482
158	0.1921011011
159	0.192053842
160	0.1919674326
161	0.191876253
162	0.1918279862
163	0.1917511579
